,Unnamed: 0,file_id,Big_Band,Blues_Contemporary,Country_Traditional,Dance,Electronica,Experimental,Folk_International,Gospel,Grunge_Emo,Hip_Hop_Rap,Jazz_Classic,Metal_Alternative,Metal_Death,Metal_Heavy,Pop_Contemporary,Pop_Indie,Pop_Latin,Punk,Reggae,RnB_Soul,Rock_Alternative,Rock_College,Rock_Contemporary,Rock_Hard,Rock_Neo_Psychedelia,masd
10944,10944,c92f83684a35c56e72ddae820eac9b5a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Country_Traditional']
7960,7960,94316bc849ca67299f7efaa5aad87ed1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Dance', 'Dance']"
14654,14654,aeb74f88797df6a32b9977778548c0ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['Rock_Hard']
9140,9140,6819bf9f959fb08266b3da11b710afd9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Country_Traditional']
10792,10792,0af8f704c8d5ae85e8c7f7da956c6966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,['Rock_Contemporary']
5803,5803,5aea136b0de563291fbc1856d5d2ef19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,['Reggae']
2641,2641,93e2cb3a0c36af361bb49c5e032e17bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['Rock_Alternative']
16456,16456,2cbeafc407ab2ae32fbfcbbc74ef7c5c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Country_Traditional']
16418,16418,c1a72dc0fc62a2b54db548eeb9dde62c,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['Metal_Death']
15102,15102,ac7471d46350f2474e5798d0b4c9a35f,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Country_Traditional']
1913,1913,eeeab9ee5ca485283cbb49e1c8873cdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['Pop_Contemporary', 'Pop_Contemporary', 'Pop_Contemporary']"
2269,2269,8ef72f78a3476bdfb92fe23c3d4aa3f6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['Rock_Neo_Psychedelia']
9940,9940,5dc3e1f22c326ff171422df753d0db35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Pop_Contemporary']
9437,9437,fad4423a179cf884a031bcd36f192740,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,['Metal_Death']
11285,11285,e1a7fa61f58d66e903019ffb0379097e,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Hip_Hop_Rap']
10486,10486,d7c25c8fe7260b4f281088f34bfa23c0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['Rock_Alternative']
13453,13453,b9bfa6c1f09a325a7c0e82d6c9c741d3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Electronica']
14553,14553,988345dc8683ebe4680e28831557dddc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['Rock_Hard']
2878,2878,354f23322fc4cdee1e525127826033d4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Experimental']
367,367,ab6d100a34bc1cf68e8835993fd96d6c,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Country_Traditional']
7872,7872,2c1a0c64f45bff03cfcae6a6f76b3e45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,['Rock_Contemporary']
10740,10740,d38338fa4d635fdee2c3d741f0576db4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Pop_Contemporary']
7837,7837,6d2e707e5c69e9f27a3d3a04f4ac7870,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Dance']
6869,6869,bfb0d48a7f4eb83e5f8596cb3e6e4203,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Dance']
10469,10469,a4cc989cbb7fb906e58e35c420e2ce3f,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Hip_Hop_Rap']
4712,4712,d1a84770cec7fbc168b4b6906d21e175,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['Pop_Contemporary', 'Experimental', 'Hip_Hop_Rap', 'Dance', 'Dance', 'Dance']"
8888,8888,e2dce78cbf370724d58eacfc2b7f8688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,['Pop_Latin']
14805,14805,3861cab2340db9665aab89eac9f7732d,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Country_Traditional']
17271,17271,2e6b30ec5d3b7f0279b42fcfb957cde2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['Rock_Hard']
6076,6076,a9e60da47239eb7b7a1883b57e823bbc,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['Dance', 'Dance', 'Rock_College']"
724,724,1c8a6ce1afce64e098688619750203ae,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"['Hip_Hop_Rap', 'Metal_Heavy', 'Rock_Hard']"
11499,11499,3b05da021d9ee10c136868844288b74a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Country_Traditional', 'Country_Traditional']"
6787,6787,0a55929a6f1cf2792f4700f2f05efa57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['Metal_Alternative']
5097,5097,e14de83c6c0d3c33e98a228f73a4d26e,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Dance']
14496,14496,f32775c42e3a2f5aa28c8d47ce889bb3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,['Rock_Neo_Psychedelia']
10916,10916,6399faf8dd1459b833b9e1b6dc02f895,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Dance']
14650,14650,67a6c33e0d4ae171773844274b54672c,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Dance']
12928,12928,7c966cf202bb4b03679cee92d0e91a0f,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Dance']
6724,6724,cccb0df738e675b80592b8cfd9b56586,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['Big_Band', 'Pop_Contemporary', 'Folk_International']"
14926,14926,275833bbe414a6bd9f6de29718bcd4bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['RnB_Soul']
3812,3812,c87292a2b10e362916682f413115c885,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['Metal_Heavy', 'Metal_Heavy', 'Metal_Heavy']"
17740,17740,9fcaac885b86ba1f911fb636aa14cb25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Country_Traditional']
11819,11819,98bb846e3ac87ed61c8d602e3eaa90de,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Electronica']
16350,16350,bc9928199e20a99cd83bef8ac3702a21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Country_Traditional']
9105,9105,969583449583b6ef5441a6d2d55eb964,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Experimental']
4851,4851,a14065a0a72ac57c535873169a80cbd7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Pop_Contemporary']
9432,9432,071d8bc9bd8ce7a8264480c077159d82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['Metal_Alternative']
14236,14236,da99ae118d2cc8cd4938b1d28627c136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Country_Traditional', 'Country_Traditional']"
1694,1694,394912913458f7877ed409d53e7ff171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,['Pop_Latin']
17773,17773,e38141067a651797e78af0323a6163a4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,['Pop_Latin']
8818,8818,8cd7effab7b99e0e1e7625a2b639725b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Electronica']
9870,9870,53f976bacaf0eaad94a4ab74459d8e57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['RnB_Soul']
14523,14523,76e4ab9a2168a1938e9a62fefa30e810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,['Rock_Contemporary']
8092,8092,34318fca4f19ef06ed68ecfe27235212,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Electronica']
17098,17098,8b2b48df0ba6c23dde7c2939a5392b62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Pop_Contemporary']
11803,11803,752fad48cfc034a1312158b4a9d6a6c8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Pop_Contemporary']
12178,12178,b2501a3f6a3c2c98d546f5206657e550,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Country_Traditional']
2572,2572,06e5dfda8d078954bca9256715370917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Pop_Contemporary']
3201,3201,2fa76361cb3ab9e11f1955a5ab4c285c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,['Rock_Contemporary']
7929,7929,de7d1087e44476181dddc2648e6818f5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['Metal_Heavy']
5199,5199,2a8dd12fee102e3fedfb4078c228c57d,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['Gospel', 'Big_Band', 'Pop_Latin']"
17030,17030,8157b7c3d1d67ff9886b51a3053521d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Pop_Contemporary']
8236,8236,2409a9d4c2701ba6c20fb385201306f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Pop_Contemporary']
4968,4968,ac6bba92d276fa061ebd510a263865ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['Rock_Hard']
1157,1157,cccdc75525a7962269b0973c1ed993dd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,['Rock_Contemporary']
15266,15266,7423cb94ec886c9c16afe61eea194c64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Dance']
16609,16609,45b06acfe5db0b7e0343c0384be04914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['Pop_Contemporary', 'Pop_Contemporary']"
14413,14413,8f79f418c46b511534eef179b3ef0e73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['Rock_Alternative']
6398,6398,5999ef18e2cd219f897d7039bac2f4ea,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Country_Traditional']
10134,10134,aeecbc7f035fb619ca079e2b3830c480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['Rock_Hard']
1594,1594,979013d9d8f2c0a18b5f1622138a20d0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Metal_Alternative', 'Metal_Alternative']"
7274,7274,eca41a5abdc0c4bf0c653f418503b673,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['Rock_Contemporary', 'Blues_Contemporary']"
5189,5189,1bc8f127159345c16992fd65f46c2107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['Pop_Indie']
8274,8274,93c391a54a4d9705b1631fd9bfcb9bee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['Rock_Hard']
9480,9480,064a2b0a6113679b18084851969b6132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,['Reggae']
14450,14450,773b7d2a67ab1bbec3f6d1770eec7da4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Big_Band']
9062,9062,09a48f66934d1bcd1380ab7348d187b7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Grunge_Emo']
9266,9266,2076e32806f5d436817ffc00a5a96738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Pop_Contemporary']
1150,1150,fda4448a14106cbe35cfa72084698efe,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['Pop_Contemporary', 'Hip_Hop_Rap']"
12737,12737,2b3fdb6a59c7361f080f0eaf0cb92775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['Rock_Hard', 'Rock_Hard']"
10396,10396,b8f33b142513f4dbf80d56e36a4e851d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['Rock_Hard']
16361,16361,ffca0861fd3a0d536ebdabdf9853a3fe,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['Electronica', 'Rock_Hard']"
6591,6591,c9d1813bae948035ecd2f30f92eda9d5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Dance']
5912,5912,3ecc8a2184e36023a91960495784d24e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,['Rock_Contemporary']
8702,8702,4830426047befe9705af8b0162397cdd,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Dance']
2203,2203,5881db41b364f3faf65e8f8a31c304f3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Pop_Contemporary']
15442,15442,6a2605bc8f142d9f002e66052fb73afb,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Folk_International']
14276,14276,3d918606c6bf89ab1ded3079a877460a,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Dance']
11919,11919,eaff2937e58b3ca26dd68f66a498c76b,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Dance']
9886,9886,97aad8e1e0b5c799b15b1a52f09d7202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['Rock_Hard']
1008,1008,9534c73d078069714154472fd5912d95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,['Rock_Contemporary']
17409,17409,23de512a58d36626456c092a62fc9fcd,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"['Grunge_Emo', 'Rock_Contemporary', 'Reggae']"
6594,6594,dd3850fad6e5a522bfdaf97ccdf15a3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['Rock_Hard']
7773,7773,922532a6da2d30e965eed7331c1b6427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Pop_Contemporary']
16171,16171,7600862d6b56f71d05c8aadc23421b5f,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Metal_Alternative', 'Country_Traditional']"
13360,13360,fb026cddc1606c1f2a18b2bf598dc838,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Country_Traditional', 'Big_Band', 'Big_Band']"
9938,9938,93e5b907003b84a93b826d98cb9f4f2b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['Rock_Hard']
15010,15010,d0db05b4f5387e54f644579f558424ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Pop_Contemporary']
195,195,637cd6a4e3ffe4615f64d5deb5fcecd7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,['Metal_Heavy']
2484,2484,adccfd0ccd5db7e1a2a0a93d7ff2a901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['Rock_Hard']
8730,8730,34706a9ca41086fcd835df454ad6c340,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Gospel']
10540,10540,2c5766108fa78916b98eeefe1af1de58,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Country_Traditional', 'Country_Traditional', 'Gospel', 'Country_Traditional']"
8305,8305,c43da7324e081259bb4cb4528be1e058,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"['Country_Traditional', 'Country_Traditional', 'Pop_Contemporary', 'Country_Traditional', 'Pop_Latin']"
826,826,336eb0756df723679b1707f22c08056c,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Jazz_Classic']
11235,11235,9323ec7380ce65cb8af3b9e3fcd84cc6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,['Rock_Contemporary']
17505,17505,6b820e81a79a3881608ed1db59c3185c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Pop_Contemporary']
17002,17002,d665b72ccfc90d4a93ebdedd47b1f475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['Rock_Alternative']
6619,6619,ba5f99c8118608a57fbe9599ba3716c6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Dance']
17000,17000,965b12d7bbbc8b68533b73ba29b78424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['Rock_College']
11305,11305,28a3aa1be2f4691676aa9c5ea117b6d6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"['Country_Traditional', 'Rock_Neo_Psychedelia', 'Rock_Contemporary']"
12282,12282,32600f48c574d021ee51cff0f7dd4b84,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Country_Traditional']
1246,1246,8c8e07fcf683001f31c3f4164d9a0d75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Dance']
11210,11210,922ae040ff784cd737ea3e75d7747130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Jazz_Classic', 'Jazz_Classic']"
8552,8552,2b2a61e7fcbccea31c58d8067931ea28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,['Pop_Latin']
17075,17075,eb527f16e44ec47dc100690d73c93537,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Grunge_Emo']
16490,16490,4d938dc20b126d0c3867856ce3b53796,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Folk_International']
16417,16417,911fea5bf9fdf1631bbd0982511a9a1d,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"['RnB_Soul', 'Experimental', 'Rock_Contemporary']"
13128,13128,67d0d73b0a1c393c09e556178f711e82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['Rock_College']
6846,6846,316a42f7f290406c180df1507867127c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,['Pop_Contemporary']
4319,4319,20a4e4a512237ba08bb7f45196784508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"['Pop_Contemporary', 'Rock_Contemporary']"
5842,5842,754f40abc6c5f6aa043ccb112fd34e40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Experimental']
5081,5081,91dd5d6e2a7c853579dabae74f2a0ad0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Jazz_Classic']
9975,9975,529d31b296487e07bcc028cbd3df33b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"['RnB_Soul', 'RnB_Soul', 'RnB_Soul']"
122,122,9dea7e09bcf067d338ffad34924b955e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,['Pop_Latin']
3651,3651,a76b51f8bbe13e2ce429f30993bd229b,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Experimental', 'Experimental', 'Experimental', 'Dance', 'Experimental']"
16301,16301,bff389731f4f09091cb4786bdd3a43f5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Dance']
6191,6191,a412f5c2b21c9770b5fe92ec98794f09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['Rock_Contemporary', 'Experimental']"
14362,14362,f18f2bd834425863a0d01c3c75674205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,['Rock_Contemporary']
14484,14484,875b752cb494799c9dc6ba3281b8f8b6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['Dance', 'Pop_Contemporary']"
12274,12274,8571d90c52606420fe9e14844d20fed7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Country_Traditional']
